지역코드,시군구,법정동,지번,단지,건축년도,층,전용면적,년,월,일,보증금,월세,좌표
11500,강서구,방화동,830-1,에어뷰21-2오피스텔,1999,5,26.22,2022,5,12,7700,0,126.81295147539@37.5772813416219
11500,강서구,방화동,620-214,(620-214),2011,11,27.37,2022,5,13,11550,0,126.807147244916@37.5628357689758
11500,강서구,방화동,830-1,에어뷰21-2오피스텔,1999,9,26.22,2022,5,16,500,40,126.81295147539@37.5772813416219
11500,강서구,방화동,829-5,에어뷰21-1오피스텔,1999,8,26.86,2022,5,23,500,40,126.81282165913@37.5783740078327
11500,강서구,방화동,830-1,에어뷰21-2오피스텔,1999,7,26.91,2022,5,25,7900,0,126.81295147539@37.5772813416219
11500,강서구,방화동,830-1,에어뷰21-2오피스텔,1999,11,26.22,2022,5,26,500,40,126.81295147539@37.5772813416219
11500,강서구,방화동,830-1,에어뷰21-2오피스텔,1999,12,26.91,2022,5,27,500,40,126.81295147539@37.5772813416219
11500,강서구,방화동,829-5,에어뷰21-1오피스텔,1999,8,26.86,2022,5,28,8000,0,126.81282165913@37.5783740078327
11500,강서구,방화동,830-3,방화샤르망1오피스텔,2003,3,24.9,2022,5,30,500,40,126.813025742326@37.5764733766294
11500,강서구,염창동,266-12,한빛어반뉴스토리,2018,4,28.69,2022,6,25,10000,40,126.870156780919@37.5507128444924
11500,강서구,등촌동,649-14,우림보보카운티뷰,2004,13,25.17,2022,6,24,13000,0,126.863420741762@37.5520638033894
11500,강서구,등촌동,649-14,우림보보카운티뷰,2004,15,27.36,2022,6,25,5000,40,126.863420741762@37.5520638033894
11500,강서구,등촌동,628,등촌동노블리움오피스텔,2005,7,23.32,2022,6,26,12600,0,126.855644813637@37.5604657703971
11500,강서구,화곡동,908-4,(908-4),2004,4,30.4,2022,6,2,10000,0,126.847033032384@37.5279646057507
11500,강서구,화곡동,24-103,(24-103),2002,5,27.6,2022,6,7,10000,0,126.846360649418@37.5461261578935
11500,강서구,화곡동,1105,미래안포레,2022,7,23.47,2022,6,13,13000,30,126.850316855117@37.5529927864671
11500,강서구,화곡동,29-45,화성오피스텔(29-45),2003,6,25.95,2022,6,16,8400,0,126.847711419579@37.5464757751468
